title,company,location,posted_date,job_type,remote_option,salary_info,job_url,scraped_date
Werkstudent IT Services (all genders),,Echterdingen (bei Stuttgart),vor 6 Stunden,Werkstudent,Vor Ort,,https://www.stepstone.de/stellenangebote--Werkstudent-IT-Services-all-genders-Leinfelden-Echterdingen-bei-Stuttgart-msg-life-ag--13187225-inline.html,2025-11-11 16:40:31
IT-Projektmanager/in im Gesundheitswesen (w/m/d),,Halle,vor 2 Stunden,Vollzeit,Vor Ort,,https://www.stepstone.de/stellenangebote--IT-Projektmanager-in-im-Gesundheitswesen-w-m-d-Halle-Medizinisches-Versorgungszentrum-Universitaetsklinikum-Halle-gGmbH--13318370-inline.html,2025-11-11 16:40:31
Lagermitarbeiter / Mitarbeiter Logistik / Fachkraft Lagerlogistik (m/w/d),,Linn,vor 23 Minuten,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Lagermitarbeiter-Mitarbeiter-Logistik-Fachkraft-Lagerlogistik-m-w-d-Krefeld-Linn-Radwell-International-Germany-GmbH--13319511-inline.html,2025-11-11 16:40:31
Projekt- und Entwicklungsingenieur mit Schwerpunkt Digitalisierung (w/m/d),,Anschreiben nicht erforderlich,vor 16 Stunden,Vollzeit,Vor Ort,,https://www.stepstone.de/stellenangebote--Projekt-und-Entwicklungsingenieur-mit-Schwerpunkt-Digitalisierung-w-m-d-Kaiserslautern-Freudenberg-Performance-Materials-GmbH-Co-KG--13319111-inline.html,2025-11-11 16:40:31
IT-Administrator (m/w/x),,Hall,vor 14 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--IT-Administrator-m-w-x-Schwaebisch-Hall-Schmitt-Logistik-GmbH--13188292-inline.html,2025-11-11 16:40:31
Ausbilder IT (m/w/d) Systemintegration,,Hamburg,vor 6 Stunden,Vollzeit,Vor Ort,,https://www.stepstone.de/stellenangebote--Ausbilder-IT-m-w-d-Systemintegration-Hamburg-BFW-Berufsfoerderungswerk-Hamburg-gGmbH--13118419-inline.html,2025-11-11 16:40:31
Entwickler:in (all genders) - Sensorik,,Taufkirchen,vor 10 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Entwickler-in-all-genders-Sensorik-Taufkirchen-munerio-consulting-GmbH--12727652-inline.html,2025-11-11 16:40:31
Mitarbeiter (m/w/d) IT Onsite Support,,Main,vor 6 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Mitarbeiter-m-w-d-IT-Onsite-Support-Frankfurt-am-Main-SECURITAS-Personalmanagement-GmbH--13186814-inline.html,2025-11-11 16:40:31
Teamleitung IT-Operations (m/w/d),,Stuttgart,vor 4 Stunden,Vollzeit,Teilweise Home-Office,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Teamleitung-IT-Operations-m-w-d-Stuttgart-Privataerztliche-Verrechnungsstelle-Baden-Wuerttemberg-eG--13318390-inline.html,2025-11-11 16:40:31
Finanzbuchhalter:in / Bilanzbuchhalter:in (m/w/d) mit Erfahrung mit der Diamant Finanzbuchhaltungs-Software,,Office,vor 8 Stunden,Vollzeit,Teilweise Home-Office,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Finanzbuchhalter-in-Bilanzbuchhalter-in-m-w-d-mit-Erfahrung-mit-der-Diamant-Finanzbuchhaltungs-Software-bundesweit-Home-Office-Dedalus-HealthCare-GmbH--12928618-inline.html,2025-11-11 16:40:31
